Line Item,2020,2019
Revenue,"5,657.6","5,512.9"
Cost of sales,"(4,045.5)","(4,222.2)"
Gross profit,"1,612.1","1,290.7"
Selling and distribution costs,(578.1),(637.8)
Administrative expenses,"(1,284.2)","(1,255.0)"
Net credit losses on financial assets,(101.3),(74.7)
Operating loss,(351.5),(676.8)
Net finance expense,(23.5),(2.7)
Loss on ordinary activities before taxation,(375.0),(679.5)
Income tax on ordinary activities,148.8,92.3
Loss for the financial year,(226.2),(587.2)
,,
